TIPO,CANTIDAD,PERIODO,AÑO
MOTOCICLETA,5914,ENE-JUN,2025
AUTOBUS,12,ENE-JUN,2025
AUTOMOVIL,102,ENE-JUN,2025
OTROS,145,ENE-JUN,2025
MOTOCICLETA,5831,JUL-DIC,2024
AUTOBUS,0,JUL-DIC,2024
AUTOMOVIL,1,JUL-DIC,2024
OTROS,0,JUL-DIC,2024
MOTOCICLETA,6482,ENE-JUN,2024
AUTOBUS,1,ENE-JUN,2024
AUTOMOVIL,29,ENE-JUN,2024
OTROS,32,ENE-JUN,2024
MOTOCICLETA,5762,JUL-DIC,2023
AUTOBUS,12,JUL-DIC,2023
AUTOMOVIL,195,JUL-DIC,2023
OTROS,9,JUL-DIC,2023
MOTOCICLETA,4658,ENE-JUN,2023
AUTOBUS,51,ENE-JUN,2023
AUTOMOVIL,359,ENE-JUN,2023
OTROS,16,ENE-JUN,2023
MOTOCICLETA,4548,JUL-DIC,2022
AUTOBUS,67,JUL-DIC,2022
AUTOMOVIL,258,JUL-DIC,2022
OTROS,12,JUL-DIC,2022
MOTOCICLETA,4809,ENE-JUN,2022
AUTOBUS,0,ENE-JUN,2022
AUTOMOVIL,0,ENE-JUN,2022
OTROS,0,ENE-JUN,2022
MOTOCICLETA,5181,JUL-DIC,2021
AUTOBUS,0,JUL-DIC,2021
AUTOMOVIL,0,JUL-DIC,2021
OTROS,0,JUL-DIC,2021
MOTOCICLETA,4563,ENE-JUN,2021
AUTOBUS,0,ENE-JUN,2021
AUTOMOVIL,1,ENE-JUN,2021
OTROS,0,ENE-JUN,2021
MOTOCICLETA,5305,JUL-DIC,2020
AUTOBUS,4,JUL-DIC,2020
AUTOMOVIL,32,JUL-DIC,2020
OTROS,0,JUL-DIC,2020
MOTOCICLETA,4482,ENE-JUN,2020
AUTOBUS,0,ENE-JUN,2020
AUTOMOVIL,4,ENE-JUN,2020
OTROS,0,ENE-JUN,2020
MOTOCICLETA,3986,JUL-DIC,2019
AUTOBUS,29,JUL-DIC,2019
AUTOMOVIL,302,JUL-DIC,2019
OTROS,6,JUL-DIC,2019
MOTOCICLETA,4215,ENE-JUN,2019
AUTOBUS,11,ENE-JUN,2019
AUTOMOVIL,35,ENE-JUN,2019
OTROS,9,ENE-JUN,2019
MOTOCICLETA,4524,JUL-DIC,2018
AUTOBUS,9,JUL-DIC,2018
AUTOMOVIL,38,JUL-DIC,2018
OTROS,4,JUL-DIC,2018
MOTOCICLETA,4182,ENE-JUN,2018
AUTOBUS,8,ENE-JUN,2018
AUTOMOVIL,33,ENE-JUN,2018
OTROS,6,ENE-JUN,2018
MOTOCICLETA,4078,JUL-DIC,2017
AUTOBUS,8,JUL-DIC,2017
AUTOMOVIL,31,JUL-DIC,2017
OTROS,5,JUL-DIC,2017
